?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Aandrijving>	"Aandrijving"@nl	"Samenstel van werktuigbouwkundige en elektrische componenten die beweging van een constructie mogelijk maakt"@nl
<https://data.rws.nl/def/otl/AandrijvingEnBewegingswerkElektrohydraulisch>	"Aandrijving en bewegingswerk (elektrohydraulisch)"@nl	"Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van een elektrohydraulische overbrenging"@nl
<https://data.rws.nl/def/otl/AandrijvingEnBewegingswerkElektromechanisch>	"Aandrijving en bewegingswerk (elektromechanisch)"@nl	"Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van een elektromechanische overbrenging"@nl
<https://data.rws.nl/def/otl/AandrijvingEnBewegingswerkMechanisch>	"Aandrijving en bewegingswerk (mechanisch)"@nl	"Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van mechanische overbrenging"@nl
<https://data.rws.nl/def/otl/Aanleginrichting>	"Aanleginrichting"@nl	"Een waterbouwkundige constructie voor het afmeren van veerboten"@nl
<https://data.rws.nl/def/otl/Aanloopgebied>	"Aanloopgebied"@nl	"Gebied, voorafgaand aan de toegangsgeul, dat onderdeel is van de toegang naar grote zeehavens"@nl
<https://data.rws.nl/def/otl/Aanrijbalk>	"Aanrijbalk"@nl	"Een balkvormige aanrijbescherming boven de weg voor het beschermen van constructies tegen de aanrijding van een voertuig."@nl
<https://data.rws.nl/def/otl/Aanslag>	"Aanslag"@nl	"Een opstaande rand of steunvlak dat de bewegingsrichting van bewegende delen begrenst en steun biedt aan de bewegende delen van een constructie."@nl
<https://data.rws.nl/def/otl/Aansluitconstructie>	"Aansluitconstructie"@nl	"Constructie voor het verbinden van grondconstructies of objecten met afwijkende vormen"@nl
<https://data.rws.nl/def/otl/Aansluitleiding>	"Aansluitleiding"@nl	"Leiding die een verbinding mogelijk maakt tussen twee punten"@nl
<https://data.rws.nl/def/otl/Aanstraalverlichting>	"Aanstraalverlichting"@nl	"Armatuur met lichtbron en eventueel een reflector voor het zichtbaar maken (aanstralen) van objecten en/ of installaties"@nl
